#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1158 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:76 out:76 type:I dur:2 cpbdur:2 q:33.75 aq:25.78 tex:267055 mv:63843 misc:198 imb:3600 pmb:0 smb:0 d:t ref:;
in:80 out:77 type:P dur:2 cpbdur:2 q:35.75 aq:28.57 tex:29781 mv:12618 misc:2369 imb:114 pmb:1374 smb:2112 d:t ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:35.75 aq:29.13 tex:2006 mv:1908 misc:878 imb:3 pmb:164 smb:3433 d:t ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:35.75 aq:33.83 tex:611 mv:661 misc:568 imb:2 pmb:64 smb:3534 d:t ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:35.75 aq:33.60 tex:831 mv:3828 misc:1533 imb:3 pmb:360 smb:3237 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:35.25 aq:27.90 tex:61266 mv:15655 misc:2351 imb:252 pmb:1714 smb:1634 d:t ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:35.50 aq:31.42 tex:2742 mv:2216 misc:1130 imb:12 pmb:203 smb:3385 d:t ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:35.62 aq:32.24 tex:729 mv:1340 misc:843 imb:1 pmb:139 smb:3460 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:35.37 aq:31.10 tex:755 mv:4187 misc:1674 imb:5 pmb:399 smb:3196 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:34.68 aq:27.23 tex:82371 mv:17150 misc:2263 imb:349 pmb:1897 smb:1354 d:t ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:34.97 aq:31.33 tex:2688 mv:2593 misc:1303 imb:10 pmb:245 smb:3345 d:t ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:35.11 aq:30.30 tex:430 mv:1106 misc:904 imb:1 pmb:129 smb:3470 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:34.83 aq:33.25 tex:595 mv:4192 misc:1669 imb:0 pmb:422 smb:3178 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:34.04 aq:26.86 tex:103213 mv:17489 misc:2106 imb:437 pmb:1959 smb:1204 d:t ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:34.36 aq:30.54 tex:3315 mv:3639 misc:1598 imb:11 pmb:332 smb:3257 d:t ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:34.52 aq:33.95 tex:783 mv:1631 misc:1202 imb:8 pmb:196 smb:3396 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:34.20 aq:30.89 tex:839 mv:4394 misc:1903 imb:4 pmb:465 smb:3131 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:34.08 aq:26.94 tex:91429 mv:16948 misc:2079 imb:353 pmb:1945 smb:1302 d:t ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:34.06 aq:29.99 tex:3268 mv:2697 misc:1347 imb:19 pmb:244 smb:3337 d:t ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:34.05 aq:30.13 tex:703 mv:1332 misc:949 imb:6 pmb:148 smb:3446 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:34.07 aq:32.88 tex:725 mv:4356 misc:1759 imb:6 pmb:416 smb:3178 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:33.74 aq:26.50 tex:104555 mv:17115 misc:1970 imb:363 pmb:2040 smb:1197 d:t ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:33.91 aq:30.49 tex:3542 mv:2413 misc:1221 imb:7 pmb:232 smb:3361 d:t ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:34.00 aq:31.78 tex:898 mv:1166 misc:976 imb:4 pmb:140 smb:3456 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:33.83 aq:31.05 tex:1192 mv:4299 misc:1805 imb:11 pmb:427 smb:3162 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:33.51 aq:26.14 tex:116959 mv:18349 misc:1908 imb:418 pmb:2067 smb:1115 d:t ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:33.62 aq:29.71 tex:3591 mv:2637 misc:1412 imb:9 pmb:270 smb:3321 d:t ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:33.68 aq:32.09 tex:1083 mv:1375 misc:1118 imb:3 pmb:187 smb:3410 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:33.57 aq:31.15 tex:1158 mv:4550 misc:1868 imb:5 pmb:462 smb:3133 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:33.43 aq:26.14 tex:109964 mv:17691 misc:1929 imb:324 pmb:2104 smb:1172 d:t ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:33.47 aq:29.25 tex:3973 mv:2741 misc:1390 imb:11 pmb:261 smb:3328 d:t ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:33.49 aq:32.34 tex:920 mv:1393 misc:1031 imb:4 pmb:159 smb:3437 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:33.45 aq:29.64 tex:950 mv:4657 misc:1881 imb:11 pmb:445 smb:3144 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:33.36 aq:26.07 tex:114448 mv:18261 misc:2051 imb:394 pmb:2131 smb:1075 d:t ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:33.39 aq:29.13 tex:3573 mv:2560 misc:1315 imb:6 pmb:266 smb:3328 d:t ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:33.41 aq:30.01 tex:915 mv:1283 misc:986 imb:6 pmb:155 smb:3439 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:33.38 aq:31.51 tex:937 mv:4741 misc:1946 imb:6 pmb:463 smb:3131 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:33.22 aq:26.01 tex:120454 mv:18135 misc:1891 imb:285 pmb:2191 smb:1124 d:t ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:33.29 aq:29.71 tex:3953 mv:2759 misc:1432 imb:12 pmb:285 smb:3303 d:t ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:33.32 aq:30.06 tex:882 mv:1273 misc:1037 imb:4 pmb:155 smb:3441 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:33.26 aq:31.52 tex:891 mv:5028 misc:1961 imb:7 pmb:484 smb:3109 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:33.22 aq:25.91 tex:119175 mv:18367 misc:1826 imb:322 pmb:2190 smb:1088 d:t ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:33.22 aq:29.12 tex:3692 mv:2810 misc:1474 imb:14 pmb:300 smb:3286 d:t ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:33.22 aq:28.67 tex:891 mv:1597 misc:1168 imb:13 pmb:193 smb:3394 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:33.22 aq:30.48 tex:1014 mv:4799 misc:1979 imb:9 pmb:475 smb:3116 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:33.11 aq:26.37 tex:123955 mv:18933 misc:1824 imb:284 pmb:2274 smb:1042 d:t ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:33.17 aq:28.79 tex:4301 mv:3046 misc:1525 imb:30 pmb:280 smb:3290 d:t ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:33.20 aq:32.10 tex:900 mv:1145 misc:1011 imb:10 pmb:141 smb:3449 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:33.14 aq:29.95 tex:1154 mv:5108 misc:2034 imb:11 pmb:494 smb:3095 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:33.02 aq:26.11 tex:124467 mv:18841 misc:1924 imb:290 pmb:2264 smb:1046 d:t ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:33.06 aq:29.21 tex:4656 mv:2786 misc:1534 imb:18 pmb:304 smb:3278 d:t ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:33.09 aq:29.96 tex:1082 mv:1599 misc:1199 imb:7 pmb:187 smb:3406 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:33.04 aq:29.34 tex:1323 mv:5295 misc:2070 imb:15 pmb:503 smb:3082 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:32.94 aq:25.83 tex:124677 mv:19544 misc:1851 imb:293 pmb:2323 smb:984 d:t ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:32.98 aq:29.08 tex:5182 mv:2906 misc:1544 imb:13 pmb:332 smb:3255 d:t ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:33.00 aq:30.86 tex:1285 mv:1753 misc:1290 imb:10 pmb:212 smb:3378 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:32.96 aq:31.68 tex:1173 mv:5399 misc:2084 imb:7 pmb:533 smb:3060 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:32.80 aq:26.05 tex:128576 mv:19605 misc:1907 imb:334 pmb:2288 smb:978 d:t ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:32.87 aq:28.82 tex:4800 mv:3540 misc:1756 imb:24 pmb:372 smb:3204 d:t ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:32.90 aq:29.20 tex:814 mv:1848 misc:1298 imb:8 pmb:215 smb:3377 d:s ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:32.84 aq:29.75 tex:1237 mv:5494 misc:2141 imb:9 pmb:542 smb:3049 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:32.82 aq:26.07 tex:127492 mv:19392 misc:2044 imb:288 pmb:2277 smb:1035 d:t ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:32.81 aq:28.29 tex:6016 mv:3452 misc:1548 imb:13 pmb:353 smb:3234 d:t ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:32.81 aq:29.31 tex:1375 mv:1568 misc:1169 imb:16 pmb:181 smb:3403 d:s ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:32.81 aq:29.79 tex:1671 mv:5653 misc:2068 imb:4 pmb:549 smb:3047 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:32.77 aq:25.89 tex:120542 mv:19602 misc:1824 imb:256 pmb:2292 smb:1052 d:t ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:32.80 aq:29.65 tex:7045 mv:3969 misc:1786 imb:19 pmb:414 smb:3167 d:t ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:32.81 aq:31.44 tex:1676 mv:1931 misc:1321 imb:10 pmb:238 smb:3352 d:s ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:32.78 aq:29.93 tex:1617 mv:6180 misc:2267 imb:14 pmb:571 smb:3015 d:- ref:0 ;
in:148 out:145 type:P dur:2 cpbdur:2 q:32.72 aq:26.15 tex:129358 mv:20261 misc:1893 imb:322 pmb:2314 smb:964 d:t ref:0 ;
in:146 out:146 type:B dur:2 cpbdur:2 q:32.75 aq:28.46 tex:7269 mv:4355 misc:1856 imb:19 pmb:468 smb:3113 d:t ref:0 ;
in:145 out:147 type:b dur:2 cpbdur:2 q:32.76 aq:29.89 tex:1526 mv:2375 misc:1339 imb:10 pmb:254 smb:3336 d:s ref:0 ;
in:147 out:148 type:b dur:2 cpbdur:2 q:32.73 aq:29.42 tex:1835 mv:6339 misc:2178 imb:6 pmb:569 smb:3025 d:- ref:0 ;
